wavelength_nm,relative_intensity
1526.47,0.34234738
1526.48,0.34568587
1526.49,0.34883812
1526.5,0.35051763
1526.51,0.3527712
1526.52,0.3495084
1526.53,0.35642874
1526.54,0.35552672
1526.55,0.35954833
1526.56,0.36023304
1526.57,0.35457456
1526.58,0.35543665
1526.59,0.35740468
1526.6,0.35863075
1526.61,0.3600757
1526.62,0.36098292
1526.63,0.366255
1526.64,0.36744714
1526.65,0.36373094
1526.66,0.3669063
1526.67,0.3711356
1526.68,0.3703772
1526.69,0.37087348
1526.7,0.3706904
1526.71,0.37302884
1526.72,0.37512156
1526.73,0.37722093
1526.74,0.37722436
1526.75,0.37804383
1526.76,0.3806415
1526.77,0.38244894
1526.78,0.38077313
1526.79,0.38198802
1526.8,0.38514602
1526.81,0.38454548
1526.82,0.38500145
1526.83,0.38517419
1526.84,0.38780972
1526.85,0.38575104
1526.86,0.3907185
1526.87,0.39080623
1526.88,0.39151257
1526.89,0.3927332
1526.9,0.39360037
1526.91,0.3928026
1526.92,0.39659733
1526.93,0.397632
1526.94,0.39789778
1526.95,0.39735562
1526.96,0.40010488
1526.97,0.40544465
1526.98,0.40252256
1526.99,0.40590867
1527.0,0.40413728
1527.01,0.4062804
1527.02,0.4078115
1527.03,0.4103387
1527.04,0.40786865
1527.05,0.40993068
1527.06,0.40880802
1527.07,0.40787745
1527.08,0.40979898
1527.09,0.40976745
1527.1,0.41333356
1527.11,0.41780928
1527.12,0.41861424
1527.13,0.41383088
1527.14,0.4175918
1527.15,0.4196188
1527.16,0.42477295
1527.17,0.42393142
1527.18,0.42560652
1527.19,0.4302869
1527.2,0.43295184
1527.21,0.43584025
1527.22,0.43489185
1527.23,0.4365527
1527.24,0.43427408
1527.25,0.43638968
1527.26,0.43995586
1527.27,0.43677327
1527.28,0.43796286
1527.29,0.441606
1527.3,0.438349
1527.31,0.44174236
1527.32,0.4414071
1527.33,0.4416992
1527.34,0.44256893
1527.35,0.4448873
1527.36,0.4450355
1527.37,0.44696146
1527.38,0.4463201
1527.39,0.45142502
1527.4,0.44759828
1527.41,0.449447
1527.42,0.4505231
1527.43,0.47285184
1527.44,0.45969847
1527.45,0.4583016
1527.46,0.457303
1527.47,0.46371725
1527.48,0.46290243
1527.49,0.4647802
1527.5,0.4639594
1527.51,0.4660651
1527.52,0.4688319
1527.53,0.4695286
1527.54,0.47500032
1527.55,0.47264597
1527.56,0.47780457
1527.57,0.4785689
1527.58,0.47780418
1527.59,0.4750173
1527.6,0.4790125
1527.61,0.47901988
1527.62,0.48051918
1527.63,0.4795399
1527.64,0.4804405
1527.65,0.48698315
1527.66,0.48955312
1527.67,0.48651466
1527.68,0.4931594
1527.69,0.49078634
1527.7,0.49156234
1527.71,0.49289882
1527.72,0.4955964
1527.73,0.5011968
1527.74,0.5005237
1527.75,0.497935
1527.76,0.49937484
1527.77,0.502747
1527.78,0.50428987
1527.79,0.5052155
1527.8,0.50714093
1527.81,0.5066184
1527.82,0.51464593
1527.83,0.51022905
1527.84,0.5106609
1527.85,0.5075249
1527.86,0.5092403
1527.87,0.5174595
1527.88,0.51556885
1527.89,0.5172871
1527.9,0.5171342
1527.91,0.5206956
1527.92,0.5219473
1527.93,0.52354544
1527.94,0.52380764
1527.95,0.52556545
1527.96,0.5249436
1527.97,0.52840257
1527.98,0.5294598
1527.99,0.53058463
1528.0,0.5306051
1528.01,0.53249884
1528.02,0.530785
1528.03,0.53564435
1528.04,0.5363337
1528.05,0.53815913
1528.06,0.5413448
1528.07,0.5411667
1528.08,0.54546916
1528.09,0.54139096
1528.1,0.54534507
1528.11,0.5460779
1528.12,0.5489032
1528.13,0.55179304
1528.14,0.55157226
1528.15,0.5545071
1528.16,0.56292623
1528.17,0.5575564
1528.18,0.5562783
1528.19,0.5554759
1528.2,0.5615647
1528.21,0.5649283
1528.22,0.5659879
1528.23,0.565106
1528.24,0.56286985
1528.25,0.56638485
1528.26,0.5659509
1528.27,0.569856
1528.28,0.5721466
1528.29,0.5732235
1528.3,0.5747497
1528.31,0.5720934
1528.32,0.5747861
1528.33,0.57505053
1528.34,0.5755117
1528.35,0.57835215
1528.36,0.58091146
1528.37,0.58115876
1528.38,0.58565134
1528.39,0.58374345
1528.4,0.58782923
1528.41,0.59059066
1528.42,0.5910749
1528.43,0.59079504
1528.44,0.5948019
1528.45,0.589981
1528.46,0.5956372
1528.47,0.5937647
1528.48,0.59493643
1528.49,0.60339665
1528.5,0.60462373
1528.51,0.60238624
1528.52,0.6066578
1528.53,0.6021235
1528.54,0.6014347
1528.55,0.6034521
1528.56,0.606517
1528.57,0.6060637
1528.58,0.60753715
1528.59,0.6135889
1528.6,0.61659783
1528.61,0.6159939
1528.62,0.6146791
1528.63,0.61549467
1528.64,0.6150507
1528.65,0.61843055
1528.66,0.61936975
1528.67,0.6217552
1528.68,0.6227486
1528.69,0.6296539
1528.7,0.63012046
1528.71,0.6285345
1528.72,0.62762195
1528.73,0.6322288
1528.74,0.63348365
1528.75,0.6337218
1528.76,0.6376988
1528.77,0.6411753
1528.78,0.6408049
1528.79,0.6412433
1528.8,0.6427575
1528.81,0.6432929
1528.82,0.6419178
1528.83,0.6451242
1528.84,0.6457819
1528.85,0.6452636
1528.86,0.65062785
1528.87,0.6532031
1528.88,0.651721
1528.89,0.654253
1528.9,0.65346766
1528.91,0.65632945
1528.92,0.6602916
1528.93,0.65899295
1528.94,0.6586719
1528.95,0.65939313
1528.96,0.65955466
1528.97,0.6617804
1528.98,0.6654173
1528.99,0.6676489
1529.0,0.6693459
1529.01,0.6684405
1529.02,0.6739973
1529.03,0.67805165
1529.04,0.6771467
1529.05,0.67876685
1529.06,0.68080485
1529.07,0.6790622
1529.08,0.6797133
1529.09,0.68518764
1529.1,0.68173677
1529.11,0.67868936
1529.12,0.68302226
1529.13,0.6819161
1529.14,0.6861668
1529.15,0.6920115
1529.16,0.69312567
1529.17,0.6921125
1529.18,0.6929541
1529.19,0.6941155
1529.2,0.6940889
1529.21,0.6981214
1529.22,0.69591177
1529.23,0.6993956
1529.24,0.69953626
1529.25,0.69933563
1529.26,0.7012307
1529.27,0.6981787
1529.28,0.7009529
1529.29,0.7048837
1529.3,0.7055232
1529.31,0.7067863
1529.32,0.7077702
1529.33,0.71098506
1529.34,0.7113758
1529.35,0.7156196
1529.36,0.71728104
1529.37,0.7209366
1529.38,0.71945053
1529.39,0.7183238
1529.4,0.72218275
1529.41,0.72251284
1529.42,0.7203657
1529.43,0.71900165
1529.44,0.71914417
1529.45,0.72450215
1529.46,0.72486997
1529.47,0.7282198
1529.48,0.73010695
1529.49,0.7330202
1529.5,0.73601496
1529.51,0.737311
1529.52,0.739673
1529.53,0.739636
1529.54,0.7408831
1529.55,0.74277544
1529.56,0.7360244
1529.57,0.7367221
1529.58,0.7406082
1529.59,0.7436947
1529.6,0.74473035
1529.61,0.7420254
1529.62,0.7481499
1529.63,0.7492231
1529.64,0.7434726
1529.65,0.75344825
1529.66,0.7507353
1529.67,0.7503379
1529.68,0.74882287
1529.69,0.757201
1529.7,0.7572367
1529.71,0.7556657
1529.72,0.7570997
1529.73,0.75470793
1529.74,0.75595033
1529.75,0.76025116
1529.76,0.76164097
1529.77,0.7681375
1529.78,0.76848483
1529.79,0.7667542
1529.8,0.76973665
1529.81,0.7674416
1529.82,0.76809734
1529.83,0.7712259
1529.84,0.7749013
